x,y
-76.561,-38.122
7.871,308.658
300.717,92.937
861.72,291.47
19.083,349.393
861.377,369.325
19.106,537.951
98.394,461.24
55.955,342.032
68.641,-95.683
164.232,-83.919
11.043,301.869
270.768,299.2
106.61,474.711
242.789,547.293
344.294,508.878
723.42,317.624
850.103,130.115
277.595,38.059
317.222,318.092
226.077,-69.591
733.969,262.226
209.536,178.303
19.758,62.203
875.271,143.515
882.851,327.592
-0.684,540.487
224.124,449.01
89.847,540.587
237.592,449.032
227.95,536.54
128.932,-98.462
37.018,72.576
176.119,186.095
304.742,314.556
107.255,-89.272
305.992,276.339
942.828,76.611
857.941,195.92
925.877,72.428
-11.838,341.066
876.366,-61.002
109.266,517.066
-26.396,279.971
80.395,301.998
280.49,47.448
193.029,-83.827
-57.204,-67.391
379.662,38.649
902.893,188.897
183.53,-54.362
169.452,297.06
-52.148,-108.929
-25.28,-72.537
917.028,63.721
870.145,234.306
322.77,-85.311
66.639,312.379
89.234,-79.781
898.586,319.598
344.849,94.982
205.451,60.054
159.344,485.939
856.349,-73.494
105.804,470.441
10.408,61.137
11.428,317.746
215.934,-93.649
837.295,324.009
-30.573,496.842
868.581,157.143
69.118,520.843
867.687,265.287
163.982,516.812
219.919,491.889
-67.702,324.663
215.689,322.139
359.655,487.816
913.82,124.162
368.64,317.132
-91.688,-37.453
22.273,-69.796
244.771,-63.725
-24.824,-62.518
325.141,328.967
151.091,191.554
866.42,166.285
-46.63,-105.808
14.982,328.096
373.13,493.635
8.335,-89.579
867.189,175.503
878.549,210.042
845.574,273.095
400.977,92.965
182.711,429.699
839.235,291.032
311.585,328.391
367.628,303.238
680.347,270.886
-32.818,-80.414
61.503,530.68
929.67,50.908
846.217,243.96
364.094,482.995
126.639,299.037
406.653,62.854
872.236,207.284
925.278,98.309
738.219,425.825
24.151,316.468
687.689,433.579
51.877,281.06
837.026,151.379
385.251,25.339
49.65,83.067
-80.601,-80.893
874.742,315.29
206.992,-73.005
99.254,492.13
20.241,330.914
406.831,60.349
839.484,266.654
273.626,516.876
204.729,295.834
